bin,low_angle,high_angle,low_momentum,high_momentum
59, 0.50,   0.82,   300,   500
60, 0.50,   0.82,   500,   700
61, 0.50,   0.82,   700,   1000
62, 0.50,   0.82,   1000,  30000
63, 0.82,   0.94,   300,   500
64, 0.82,   0.94,   500,   700
65, 0.82,   0.94,   700,   1000
66, 0.82,   0.94,   1000,  30000
67, 0.94,   1.00,   300,   500
68, 0.94,   1.00,   500,   700
69, 0.94,   1.00,   700,   1000
70, 0.94,   1.00,   1000,  30000
