			Flux (/cm^2/1E21p.o.t/50MeV)
Bin#	Energy (GeV)	numu		anti-numu	nue		anti-nue
---------------------------------------------------------------------------------
69	 3.40- 3.45	1.49e+10	1.63e+09	6.67e+08	1.36e+08
70	 3.45- 3.50	1.48e+10	1.54e+09	6.38e+08	1.38e+08
71	 3.50- 3.55	1.43e+10	1.91e+09	6.09e+08	1.33e+08
72	 3.55- 3.60	1.41e+10	1.47e+09	6.02e+08	1.32e+08
73	 3.60- 3.65	1.41e+10	1.50e+09	5.73e+08	1.35e+08
74	 3.65- 3.70	1.40e+10	1.31e+09	5.55e+08	1.30e+08
75	 3.70- 3.75	1.36e+10	1.38e+09	5.23e+08	1.28e+08
76	 3.75- 3.80	1.33e+10	1.26e+09	5.18e+08	1.17e+08
77	 3.80- 3.85	1.32e+10	1.31e+09	4.91e+08	1.14e+08
78	 3.85- 3.90	1.32e+10	1.15e+09	4.76e+08	1.12e+08
79	 3.90- 3.95	1.30e+10	9.80e+08	4.65e+08	1.09e+08
80	 3.95- 4.00	1.27e+10	1.16e+09	4.41e+08	1.00e+08
81	 4.00- 4.05	1.26e+10	9.44e+08	4.42e+08	1.03e+08
82	 4.05- 4.10	1.24e+10	1.07e+09	4.09e+08	9.46e+07
83	 4.10- 4.15	1.21e+10	1.00e+09	3.99e+08	1.02e+08
84	 4.15- 4.20	1.20e+10	9.26e+08	3.79e+08	9.15e+07
85	 4.20- 4.25	1.18e+10	1.02e+09	3.63e+08	9.60e+07
86	 4.25- 4.30	1.16e+10	8.19e+08	3.60e+08	9.21e+07
87	 4.30- 4.35	1.12e+10	8.29e+08	3.45e+08	9.39e+07
88	 4.35- 4.40	1.09e+10	7.93e+08	3.41e+08	7.76e+07
89	 4.40- 4.45	1.06e+10	7.95e+08	3.11e+08	7.64e+07
90	 4.45- 4.50	1.03e+10	7.46e+08	3.11e+08	7.70e+07
91	 4.50- 4.55	1.01e+10	8.41e+08	2.95e+08	7.71e+07
92	 4.55- 4.60	9.96e+09	7.47e+08	2.81e+08	6.73e+07
93	 4.60- 4.65	9.42e+09	7.20e+08	2.80e+08	7.19e+07
94	 4.65- 4.70	9.16e+09	6.32e+08	2.78e+08	7.07e+07
95	 4.70- 4.75	9.08e+09	6.04e+08	2.65e+08	6.32e+07
96	 4.75- 4.80	8.67e+09	7.93e+08	2.57e+08	5.97e+07
97	 4.80- 4.85	8.57e+09	5.89e+08	2.42e+08	6.19e+07
98	 4.85- 4.90	8.07e+09	5.72e+08	2.32e+08	5.53e+07
99	 4.90- 4.95	7.85e+09	6.13e+08	2.29e+08	6.51e+07
100	 4.95- 5.00	7.85e+09	5.51e+08	2.24e+08	5.82e+07
101	 5.00- 5.05	7.60e+09	5.01e+08	2.13e+08	6.22e+07
102	 5.05- 5.10	7.29e+09	4.88e+08	2.01e+08	5.51e+07
103	 5.10- 5.15	7.02e+09	4.42e+08	1.98e+08	5.36e+07
104	 5.15- 5.20	6.67e+09	4.52e+08	1.96e+08	5.62e+07
105	 5.20- 5.25	6.59e+09	5.36e+08	2.32e+08	5.60e+07
106	 5.25- 5.30	6.14e+09	4.25e+08	1.89e+08	4.60e+07
107	 5.30- 5.35	6.22e+09	4.31e+08	1.69e+08	4.93e+07
108	 5.35- 5.40	6.17e+09	4.87e+08	1.71e+08	4.56e+07
109	 5.40- 5.45	5.51e+09	4.37e+08	1.61e+08	4.78e+07
110	 5.45- 5.50	5.50e+09	5.03e+08	1.48e+08	4.77e+07
111	 5.50- 5.55	5.41e+09	3.88e+08	1.50e+08	4.54e+07
112	 5.55- 5.60	5.21e+09	5.01e+08	1.45e+08	4.08e+07
113	 5.60- 5.65	5.13e+09	4.08e+08	1.39e+08	3.85e+07
114	 5.65- 5.70	4.75e+09	3.46e+08	1.37e+08	3.92e+07
115	 5.70- 5.75	4.74e+09	3.20e+08	1.29e+08	3.70e+07
116	 5.75- 5.80	4.66e+09	3.31e+08	1.43e+08	3.48e+07
117	 5.80- 5.85	4.38e+09	3.02e+08	1.29e+08	3.46e+07
118	 5.85- 5.90	4.23e+09	3.06e+08	1.23e+08	3.09e+07
119	 5.90- 5.95	4.22e+09	3.15e+08	1.15e+08	3.64e+07
120	 5.95- 6.00	4.04e+09	2.95e+08	1.17e+08	3.00e+07
121	 6.00- 6.05	4.09e+09	2.60e+08	1.12e+08	2.62e+07
122	 6.05- 6.10	3.86e+09	2.63e+08	1.04e+08	2.72e+07
