			Flux (/cm^2/1E21p.o.t/50MeV)
Bin#	Energy (GeV)	numu		anti-numu	nue		anti-nue
---------------------------------------------------------------------------------
1	 0.00- 0.05	1.77e+10	2.08e+10	2.93e+08	4.47e+07
2	 0.05- 0.10	7.25e+10	7.34e+10	1.94e+09	1.94e+08
3	 0.10- 0.15	1.34e+11	6.22e+10	3.46e+09	3.76e+08
4	 0.15- 0.20	2.09e+11	4.90e+10	5.19e+09	4.66e+08
5	 0.20- 0.25	3.28e+11	4.57e+10	6.81e+09	5.28e+08
6	 0.25- 0.30	4.75e+11	4.50e+10	8.20e+09	6.60e+08
7	 0.30- 0.35	6.53e+11	4.59e+10	8.67e+09	7.05e+08
8	 0.35- 0.40	8.58e+11	4.72e+10	8.68e+09	6.20e+08
9	 0.40- 0.45	1.09e+12	4.71e+10	8.79e+09	6.76e+08
10	 0.45- 0.50	1.34e+12	4.63e+10	9.00e+09	6.66e+08
11	 0.50- 0.55	1.47e+12	4.67e+10	8.77e+09	7.24e+08
12	 0.55- 0.60	1.52e+12	4.48e+10	8.30e+09	7.70e+08
13	 0.60- 0.65	1.43e+12	4.43e+10	8.10e+09	6.27e+08
14	 0.65- 0.70	1.26e+12	4.10e+10	7.66e+09	6.74e+08
15	 0.70- 0.75	1.03e+12	3.87e+10	6.58e+09	6.28e+08
16	 0.75- 0.80	7.78e+11	3.66e+10	5.62e+09	6.14e+08
17	 0.80- 0.85	5.77e+11	3.32e+10	5.53e+09	6.10e+08
18	 0.85- 0.90	4.25e+11	3.11e+10	5.31e+09	5.68e+08
19	 0.90- 0.95	3.35e+11	2.70e+10	4.63e+09	5.59e+08
20	 0.95- 1.00	2.69e+11	2.61e+10	4.21e+09	5.87e+08
21	 1.00- 1.05	2.21e+11	2.38e+10	3.81e+09	5.92e+08
22	 1.05- 1.10	1.87e+11	2.27e+10	3.35e+09	5.12e+08
23	 1.10- 1.15	1.63e+11	2.12e+10	3.09e+09	5.06e+08
24	 1.15- 1.20	1.44e+11	1.97e+10	2.77e+09	5.53e+08
25	 1.20- 1.25	1.28e+11	1.89e+10	2.75e+09	5.29e+08
26	 1.25- 1.30	1.10e+11	1.72e+10	2.38e+09	4.55e+08
27	 1.30- 1.35	1.07e+11	1.51e+10	2.23e+09	5.02e+08
28	 1.35- 1.40	9.40e+10	1.42e+10	2.10e+09	4.68e+08
29	 1.40- 1.45	8.68e+10	1.43e+10	1.94e+09	4.41e+08
30	 1.45- 1.50	8.09e+10	1.30e+10	1.85e+09	4.63e+08
31	 1.50- 1.55	7.51e+10	1.31e+10	1.70e+09	4.06e+08
32	 1.55- 1.60	6.78e+10	1.22e+10	1.73e+09	5.01e+08
33	 1.60- 1.65	6.49e+10	1.17e+10	1.67e+09	4.07e+08
34	 1.65- 1.70	5.98e+10	9.65e+09	1.55e+09	3.78e+08
35	 1.70- 1.75	5.85e+10	9.53e+09	1.72e+09	3.81e+08
36	 1.75- 1.80	5.19e+10	8.86e+09	1.72e+09	3.85e+08
37	 1.80- 1.85	4.85e+10	8.34e+09	1.55e+09	3.51e+08
38	 1.85- 1.90	4.45e+10	7.92e+09	1.46e+09	3.56e+08
39	 1.90- 1.95	4.52e+10	7.06e+09	1.45e+09	3.52e+08
40	 1.95- 2.00	4.22e+10	7.04e+09	1.42e+09	3.39e+08
