			Flux (/cm^2/1E21p.o.t/50MeV)
Bin#	Energy (GeV)	numu		anti-numu	nue		anti-nue
---------------------------------------------------------------------------------
69	 3.40- 3.45	8.82e+03	1.27e+03	4.15e+02	9.99e+01
70	 3.45- 3.50	8.82e+03	1.14e+03	4.00e+02	1.04e+02
71	 3.50- 3.55	8.57e+03	1.05e+03	3.84e+02	9.60e+01
72	 3.55- 3.60	8.51e+03	1.01e+03	3.75e+02	9.87e+01
73	 3.60- 3.65	8.31e+03	9.51e+02	3.62e+02	9.42e+01
74	 3.65- 3.70	8.37e+03	9.51e+02	3.43e+02	8.74e+01
75	 3.70- 3.75	8.19e+03	9.44e+02	3.32e+02	8.81e+01
76	 3.75- 3.80	8.03e+03	8.13e+02	3.18e+02	8.59e+01
77	 3.80- 3.85	7.93e+03	9.22e+02	3.08e+02	8.17e+01
78	 3.85- 3.90	8.06e+03	8.24e+02	3.02e+02	8.28e+01
79	 3.90- 3.95	7.76e+03	7.51e+02	2.80e+02	7.30e+01
80	 3.95- 4.00	7.65e+03	7.50e+02	2.74e+02	8.11e+01
81	 4.00- 4.05	7.48e+03	7.55e+02	2.58e+02	7.08e+01
82	 4.05- 4.10	7.44e+03	7.26e+02	2.51e+02	7.16e+01
83	 4.10- 4.15	7.21e+03	6.88e+02	2.50e+02	7.07e+01
84	 4.15- 4.20	7.14e+03	7.12e+02	2.37e+02	6.48e+01
85	 4.20- 4.25	7.07e+03	6.47e+02	2.24e+02	6.75e+01
86	 4.25- 4.30	6.82e+03	5.91e+02	2.20e+02	6.52e+01
87	 4.30- 4.35	6.52e+03	6.30e+02	2.16e+02	5.81e+01
88	 4.35- 4.40	6.36e+03	5.89e+02	2.00e+02	5.87e+01
89	 4.40- 4.45	6.28e+03	6.01e+02	1.97e+02	5.55e+01
90	 4.45- 4.50	6.05e+03	5.96e+02	1.91e+02	5.74e+01
91	 4.50- 4.55	5.93e+03	5.74e+02	1.88e+02	5.29e+01
92	 4.55- 4.60	5.73e+03	4.67e+02	1.77e+02	5.34e+01
93	 4.60- 4.65	5.43e+03	5.11e+02	1.69e+02	5.01e+01
94	 4.65- 4.70	5.20e+03	4.79e+02	1.67e+02	4.82e+01
95	 4.70- 4.75	4.99e+03	5.07e+02	1.63e+02	4.54e+01
96	 4.75- 4.80	4.85e+03	3.89e+02	1.56e+02	4.72e+01
97	 4.80- 4.85	4.76e+03	4.29e+02	1.53e+02	4.57e+01
98	 4.85- 4.90	4.56e+03	4.81e+02	1.45e+02	4.42e+01
99	 4.90- 4.95	4.37e+03	4.08e+02	1.42e+02	4.28e+01
100	 4.95- 5.00	4.30e+03	3.77e+02	1.35e+02	4.36e+01
101	 5.00- 5.05	4.14e+03	4.18e+02	1.31e+02	4.12e+01
102	 5.05- 5.10	3.93e+03	3.51e+02	1.23e+02	3.91e+01
103	 5.10- 5.15	3.80e+03	3.55e+02	1.23e+02	3.88e+01
104	 5.15- 5.20	3.74e+03	3.36e+02	1.13e+02	3.42e+01
105	 5.20- 5.25	3.65e+03	3.30e+02	1.13e+02	3.69e+01
106	 5.25- 5.30	3.58e+03	3.00e+02	1.15e+02	3.43e+01
107	 5.30- 5.35	3.39e+03	3.02e+02	1.11e+02	3.29e+01
108	 5.35- 5.40	3.28e+03	3.09e+02	1.08e+02	3.42e+01
109	 5.40- 5.45	3.20e+03	2.74e+02	1.01e+02	3.21e+01
110	 5.45- 5.50	3.13e+03	3.20e+02	9.53e+01	2.90e+01
111	 5.50- 5.55	3.06e+03	2.72e+02	9.16e+01	2.71e+01
112	 5.55- 5.60	2.90e+03	3.00e+02	9.29e+01	2.64e+01
113	 5.60- 5.65	2.90e+03	3.18e+02	9.73e+01	3.03e+01
114	 5.65- 5.70	2.80e+03	3.24e+02	8.05e+01	2.58e+01
115	 5.70- 5.75	2.83e+03	2.37e+02	7.83e+01	2.45e+01
116	 5.75- 5.80	2.68e+03	2.38e+02	8.09e+01	2.59e+01
117	 5.80- 5.85	2.66e+03	2.29e+02	7.36e+01	2.23e+01
118	 5.85- 5.90	2.54e+03	2.71e+02	8.04e+01	2.66e+01
119	 5.90- 5.95	2.49e+03	2.51e+02	6.98e+01	2.08e+01
120	 5.95- 6.00	2.36e+03	2.16e+02	6.92e+01	2.28e+01
121	 6.00- 6.05	2.41e+03	2.07e+02	6.90e+01	2.19e+01
122	 6.05- 6.10	2.36e+03	1.98e+02	6.18e+01	1.88e+01
123	 6.10- 6.15	2.34e+03	2.34e+02	6.28e+01	2.24e+01
124	 6.15- 6.20	2.18e+03	1.91e+02	5.66e+01	1.75e+01
125	 6.20- 6.25	2.21e+03	1.81e+02	5.64e+01	1.76e+01
126	 6.25- 6.30	2.15e+03	1.59e+02	6.50e+01	1.96e+01
127	 6.30- 6.35	2.07e+03	2.17e+02	5.19e+01	1.77e+01
128	 6.35- 6.40	2.13e+03	1.68e+02	5.35e+01	1.77e+01
129	 6.40- 6.45	1.99e+03	1.60e+02	4.87e+01	1.59e+01
130	 6.45- 6.50	1.95e+03	1.40e+02	4.50e+01	1.48e+01
131	 6.50- 6.55	1.90e+03	1.51e+02	4.64e+01	1.59e+01
132	 6.55- 6.60	1.84e+03	2.07e+02	4.21e+01	1.88e+01
133	 6.60- 6.65	1.82e+03	2.00e+02	4.43e+01	1.64e+01
134	 6.65- 6.70	1.74e+03	1.62e+02	3.88e+01	1.27e+01
135	 6.70- 6.75	1.73e+03	1.77e+02	3.90e+01	1.21e+01
136	 6.75- 6.80	1.64e+03	1.58e+02	3.82e+01	1.19e+01
137	 6.80- 6.85	1.66e+03	1.18e+02	3.59e+01	1.25e+01
138	 6.85- 6.90	1.61e+03	1.42e+02	3.71e+01	1.26e+01
139	 6.90- 6.95	1.58e+03	1.38e+02	3.49e+01	1.21e+01
140	 6.95- 7.00	1.56e+03	1.61e+02	4.05e+01	1.19e+01
141	 7.00- 7.05	1.49e+03	1.14e+02	3.16e+01	1.14e+01
142	 7.05- 7.10	1.45e+03	1.59e+02	3.24e+01	9.06e+00
143	 7.10- 7.15	1.43e+03	9.63e+01	2.71e+01	8.42e+00
144	 7.15- 7.20	1.42e+03	1.30e+02	2.84e+01	9.99e+00
145	 7.20- 7.25	1.41e+03	1.01e+02	2.85e+01	1.00e+01
146	 7.25- 7.30	1.31e+03	1.04e+02	2.68e+01	8.07e+00
147	 7.30- 7.35	1.28e+03	9.39e+01	2.77e+01	9.93e+00
148	 7.35- 7.40	1.29e+03	9.70e+01	2.36e+01	7.69e+00
149	 7.40- 7.45	1.22e+03	9.49e+01	2.53e+01	9.27e+00
150	 7.45- 7.50	1.19e+03	8.84e+01	2.58e+01	8.65e+00
151	 7.50- 7.55	1.18e+03	1.13e+02	2.22e+01	7.13e+00
152	 7.55- 7.60	1.13e+03	1.03e+02	2.28e+01	6.43e+00
153	 7.60- 7.65	1.13e+03	1.00e+02	2.16e+01	7.00e+00
154	 7.65- 7.70	1.09e+03	8.93e+01	2.09e+01	7.40e+00
155	 7.70- 7.75	1.06e+03	9.50e+01	1.98e+01	6.53e+00
156	 7.75- 7.80	1.01e+03	9.27e+01	2.51e+01	6.69e+00
157	 7.80- 7.85	1.05e+03	7.38e+01	2.02e+01	7.20e+00
158	 7.85- 7.90	9.58e+02	6.85e+01	1.83e+01	7.06e+00
159	 7.90- 7.95	9.36e+02	1.12e+02	1.81e+01	6.81e+00
