			Flux (/cm^2/1E21p.o.t/50MeV)
Bin#	Energy (GeV)	numu		anti-numu	nue		anti-nue
---------------------------------------------------------------------------------
1	 0.00- 0.05	1.27e+04	1.67e+04	1.75e+02	2.94e+01
2	 0.05- 0.10	5.43e+04	5.29e+04	9.97e+02	1.25e+02
3	 0.10- 0.15	1.09e+05	3.93e+04	2.06e+03	2.13e+02
4	 0.15- 0.20	1.71e+05	3.06e+04	3.21e+03	2.97e+02
5	 0.20- 0.25	2.56e+05	2.84e+04	4.06e+03	3.59e+02
6	 0.25- 0.30	3.61e+05	2.75e+04	4.86e+03	4.33e+02
7	 0.30- 0.35	4.75e+05	2.77e+04	5.13e+03	4.65e+02
8	 0.35- 0.40	5.88e+05	2.86e+04	5.58e+03	4.92e+02
9	 0.40- 0.45	7.13e+05	2.92e+04	5.71e+03	5.17e+02
10	 0.45- 0.50	8.87e+05	2.89e+04	5.84e+03	5.38e+02
11	 0.50- 0.55	1.13e+06	2.91e+04	5.68e+03	5.68e+02
12	 0.55- 0.60	1.25e+06	2.91e+04	5.57e+03	5.42e+02
13	 0.60- 0.65	1.23e+06	2.90e+04	5.22e+03	5.28e+02
14	 0.65- 0.70	1.14e+06	2.77e+04	5.17e+03	5.15e+02
15	 0.70- 0.75	9.03e+05	2.56e+04	4.83e+03	5.03e+02
16	 0.75- 0.80	6.32e+05	2.48e+04	4.55e+03	4.89e+02
17	 0.80- 0.85	4.16e+05	2.12e+04	4.08e+03	4.85e+02
18	 0.85- 0.90	2.71e+05	2.02e+04	3.86e+03	4.66e+02
19	 0.90- 0.95	1.87e+05	1.85e+04	3.51e+03	4.42e+02
20	 0.95- 1.00	1.40e+05	1.75e+04	3.10e+03	4.40e+02
21	 1.00- 1.05	1.11e+05	1.75e+04	2.85e+03	4.25e+02
22	 1.05- 1.10	9.24e+04	1.47e+04	2.61e+03	4.20e+02
23	 1.10- 1.15	7.87e+04	1.35e+04	2.37e+03	3.91e+02
24	 1.15- 1.20	6.73e+04	1.24e+04	2.14e+03	4.01e+02
25	 1.20- 1.25	5.95e+04	1.18e+04	2.00e+03	3.89e+02
26	 1.25- 1.30	5.21e+04	1.07e+04	1.82e+03	3.62e+02
27	 1.30- 1.35	4.67e+04	9.52e+03	1.67e+03	3.47e+02
28	 1.35- 1.40	4.18e+04	8.82e+03	1.60e+03	3.43e+02
29	 1.40- 1.45	3.85e+04	8.27e+03	1.50e+03	3.35e+02
30	 1.45- 1.50	3.49e+04	7.70e+03	1.42e+03	3.30e+02
31	 1.50- 1.55	3.12e+04	7.09e+03	1.38e+03	3.16e+02
32	 1.55- 1.60	2.94e+04	6.57e+03	1.29e+03	3.05e+02
33	 1.60- 1.65	2.72e+04	6.13e+03	1.27e+03	3.02e+02
34	 1.65- 1.70	2.54e+04	5.86e+03	1.27e+03	2.96e+02
35	 1.70- 1.75	2.38e+04	5.71e+03	1.20e+03	2.85e+02
36	 1.75- 1.80	2.23e+04	5.24e+03	1.16e+03	2.76e+02
37	 1.80- 1.85	2.09e+04	4.97e+03	1.15e+03	2.67e+02
38	 1.85- 1.90	1.94e+04	4.75e+03	1.10e+03	2.57e+02
39	 1.90- 1.95	1.87e+04	4.58e+03	1.09e+03	2.52e+02
40	 1.95- 2.00	1.80e+04	4.18e+03	1.06e+03	2.37e+02
41	 2.00- 2.05	1.68e+04	4.07e+03	1.05e+03	2.34e+02
42	 2.05- 2.10	1.60e+04	3.85e+03	1.02e+03	2.36e+02
